p,xi,median_M,exclusion_rate,median_premium_unc
0.0,1.1,66.50088678240913,0.975,0.36703217099924024
0.0,1.3,58.66628935377592,0.985,0.318538098557024
0.0,1.6,41.25342452510486,0.945,0.22526939077687058
0.0,2.0,36.50510985054685,0.95,0.1808922041832185
0.01,1.1,68.51909461417657,0.98,0.3726518452647729
0.01,1.3,57.46243177615181,0.965,0.31422143983770384
0.01,1.6,44.803212188791264,0.96,0.24496286420748248
0.01,2.0,33.381631722849264,0.925,0.1799673065140096
0.02,1.1,66.66411353545665,0.985,0.38778621394771706
0.02,1.3,54.1760282655639,0.96,0.2850871699504671
0.02,1.6,45.30335467116093,0.975,0.2342497285804328
0.02,2.0,34.200056094012865,0.98,0.17101189718799947
0.05,1.1,63.76107662148814,0.96,0.32476519142533433
0.05,1.3,54.4387464489461,0.965,0.27292596152538917
0.05,1.6,42.0405939392651,0.93,0.24055386296368897
0.05,2.0,35.34556114203792,0.97,0.18184108587893189
0.1,1.1,62.184852068019524,0.94,0.36289715259024385
0.1,1.3,53.00573960847592,0.955,0.27305659586784936
0.1,1.6,38.32805089185776,0.95,0.20260436234497367
0.1,2.0,29.760874505505427,0.97,0.15320428728997504
